leader, team_name, build_name, line
Surge, Magnezone, Electrode, 113
Erika, Victreebel, Cradily, 161
Erika, Bellossom, Abomasnow, 185
Sabrina, Alakzam, Alakazam, 241
Lorelei, Sandslash, Sandslash-Alola, 393
Crasher-Wake, Politoed, Floatzel, 2219
Crasher-Wake, Kingdra, Empoleon, 2227
Crasher-Wake, Huntail, Gastrodon, 2243
Flint, Rapidash, Houndoom, 2563
Flint, Houndoom, Rapidash, 2571
Cress, Crawdaunt, Samurott, 2892
Cress, Samurott, Azumarill, 2900
Cress, Azumarill, Slowking, 2908
Cress, Slowking, Seismitoad, 2916
Cress, Seismitoad, Watchog, 2924
Clay, Krookodile, Krokorok, 3084
Brycen, Cryognal, Cryogonal, 3164
Cheren, Unfeazant, Unfezant, 3276
Roxie, Garbador, Garbodor, 3324
Grimsley, Krookodile, Scrafty, 3515
Grimsley, Houndoom, Bisharp, 3524
N-(Zekrom), Klingklang, Klinklang, 3636
Korrina, Hawlcha, Hawlucha, 3820
Valerie, Mawhile, Mawile, 3868
Wulfric, Cryognal, Cryogonal, 3915
Malva, Talonflame, Drapion, 3770
Wikstrom, Aegislash-Shield, Masquerain, 3794
Milo, Eldegoss, Ambipom, 1399
Gordie, Tyranitar, Stonjourner, 4853
Rika, Dugtrio, Beartic, 5510
Leon, Aegislash, Aegislash-Shield, 6262
